Q,FWHM,R,sig_R
0.0437029,0.00109168,0.00433132,8.75689e-05
0.0440954,0.00102007,0.00404137,0.000210686
0.0442839,0.00111369,0.00375069,7.73014e-05
0.0448805,0.00113651,0.00323578,6.86803e-05
0.0454934,0.0011602,0.00269202,6.00021e-05
0.0461233,0.00118478,0.00215037,5.13822e-05
0.0462392,0.00109318,0.00216706,0.000142927
0.0467297,0.00119331,0.00172622,4.71679e-05
0.0470008,0.00111973,0.00138374,0.000114852
0.0473105,0.00121595,0.00129527,3.92133e-05
0.047788,0.00114749,0.00121284,0.000108701
0.0479058,0.00123937,0.000977449,3.28516e-05
0.0485163,0.00126361,0.000732046,2.74838e-05
0.0491425,0.00128872,0.000490445,2.17655e-05
0.0494441,0.00120694,0.000420885,6.47154e-05
0.0497852,0.00131474,0.00034477,1.74793e-05
0.050316,0.00123881,0.000258074,5.04749e-05
0.0504449,0.00134171,0.000232839,1.37582e-05
0.0511223,0.00136968,0.000174886,1.15477e-05
0.0518181,0.00139871,0.000173795,1.08819e-05
0.0525331,0.00142885,0.000203986,1.10766e-05
0.0532682,0.00146016,0.000267489,1.20558e-05
0.0540241,0.00149271,0.000369734,1.35365e-05
0.0548017,0.00152657,0.000468824,1.45865e-05
0.0556021,0.0015618,0.000630431,1.62773e-05
0.0564262,0.00159849,0.000744426,1.70046e-05
0.0572751,0.00163673,0.000847647,1.75316e-05
0.05815,0.00167661,0.000987241,1.82426e-05
0.059052,0.00171821,0.00103075,1.79092e-05
0.0599824,0.00176166,0.00113676,1.80448e-05
0.0609426,0.00180707,0.00110109,1.70172e-05
0.061934,0.00185455,0.00110123,1.63009e-05
0.0629582,0.00190425,0.00104044,1.51515e-05
0.0640169,0.0019563,0.000936383,1.37427e-05
0.0650319,0.00197824,0.000803317,1.32014e-05
0.0659982,0.00202597,0.000703175,1.18923e-05
0.0669937,0.00207574,0.000595844,1.05663e-05
0.0680197,0.00212765,0.000456188,8.89647e-06
0.0690776,0.00218185,0.000338476,7.39796e-06
0.0701689,0.00223848,0.000243518,6.05637e-06
0.0712952,0.00229767,0.000159734,4.76667e-06
0.0724583,0.00235961,9.42475e-05,3.54824e-06
0.07366,0.00242446,5.90083e-05,2.72599e-06
0.0749022,0.00249242,5.47105e-05,2.47223e-06
0.0761871,0.00256371,6.85686e-05,2.57687e-06
0.0775167,0.00263853,9.99768e-05,2.93819e-06
0.0788936,0.00271714,0.000132022,3.22115e-06
0.0803203,0.00279981,0.000178228,3.56587e-06
0.0817996,0.00288684,0.000227647,3.85889e-06
0.0833344,0.00297853,0.000247783,3.86424e-06
0.0849279,0.00307525,0.000243981,3.68006e-06
0.0865835,0.00317738,0.000232426,3.45004e-06
0.0883049,0.00328533,0.000200529,3.08283e-06
0.0900962,0.00339957,0.000157939,2.62991e-06
0.0919617,0.00352061,0.0001102,2.12562e-06
0.093906,0.00364903,6.95224e-05,1.63925e-06
0.0959344,0.00378544,3.74805e-05,1.17762e-06
0.0980523,0.00393054,2.51911e-05,9.30094e-07
0.100266,0.0040851,2.83363e-05,9.1348e-07
0.102582,0.00424998,4.30574e-05,1.0415e-06
0.105007,0.00442616,6.19844e-05,1.1789e-06
0.10755,0.00461468,7.2156e-05,1.20954e-06
0.110219,0.00481679,6.90098e-05,1.13615e-06
0.112782,0.00493646,5.60728e-05,1.08211e-06
0.115221,0.00512501,3.99954e-05,8.92425e-07
0.117766,0.00532563,2.59931e-05,7.06211e-07
0.120427,0.00553944,1.54316e-05,5.39627e-07
0.123212,0.00576761,1.31279e-05,4.71873e-07
0.126127,0.00601149,1.73769e-05,4.95954e-07
0.129184,0.00627259,2.19684e-05,5.25552e-07
0.132393,0.00655259,2.4357e-05,5.28203e-07
0.135766,0.00685341,2.12046e-05,4.8073e-07
0.139315,0.00717719,1.55756e-05,4.07024e-07
0.143054,0.00752636,9.37941e-06,3.20833e-07
0.147,0.00790373,6.74835e-06,2.69294e-07
0.151169,0.00831242,8.01766e-06,2.74448e-07
0.155582,0.00875608,8.90342e-06,2.79985e-07
0.160261,0.00923888,8.11743e-06,2.68024e-07
0.165229,0.00976562,6.16901e-06,2.41119e-07
0.170516,0.0103419,4.37832e-06,2.14825e-07
0.176152,0.0109742,3.09886e-06,1.9604e-07
0.182173,0.0116701,3.84091e-06,2.07584e-07
0.18862,0.0124386,3.15174e-06,1.93488e-07
0.195541,0.0132902,2.07879e-06,1.72026e-07
0.202989,0.0142376,1.68414e-06,1.64106e-07
0.211027,0.0152958,1.35565e-06,1.55712e-07
0.219728,0.0164831,1.0923e-06,1.45522e-07
0.229177,0.0178215,8.20558e-07,1.38797e-07
0.239475,0.0193382,7.21966e-07,1.35795e-07
0.250743,0.0210665,4.77212e-07,1.33036e-07
0.263124,0.0230481,3.57339e-07,1.31751e-07
0.276791,0.0253357,1.48553e-07,1.30993e-07
0.291956,0.0279961,4.7765e-08,1.38256e-07
0.30888,0.0311159,2.27792e-07,1.54596e-07
0.327887,0.034808,6.92772e-08,1.63159e-07
0.349388,0.0392227,9.61816e-08,1.74375e-07
0.399049,0.049884,1.50319e-07,2.41551e-07
0.424481,0.0560737,3.81201e-08,2.77714e-07
